Nov. 21, 2013	H Amdt 513	Removes the Federal Energy Regulatory Commission Permit Issuance Requirement	Amendment Rejected - House(184 - 233)	Yea	
Nov. 21, 2013	H Amdt 515	Prohibits the Natural Gas Pipeline Permitting Reform Act from Taking Effect During the Sequester	Amendment Rejected - House(175 - 243)	Yea	
Nov. 21, 2013	HR 1900	Natural Gas Pipeline Permitting Reform Act	Bill Passed - House(252 - 165)	Nay	
Nov. 20, 2013	H Amdt 498	Specifies That Certain Fees Do Not Limit the Right to Petition	Amendment Rejected - House(199 - 222)	Yea	
Nov. 20, 2013	H Amdt 499	Authorizes the Secretary of the Interior to Require Certain Findings for Categorical Exclusions	Amendment Rejected - House(194 - 228)	Yea	
Nov. 20, 2013	H Amdt 503	Requires a Report on the Effect of Flooding on Oil and Gas Facilities	Amendment Rejected - House(202 - 221)	Yea	
Nov. 20, 2013	H Amdt 504	Appropriates $10 Million to the Commodity Futures Trading Commission	Amendment Rejected - House(195 - 226)	Yea	
Nov. 20, 2013	H Amdt 507	Specifies the Authority of the Secretary of Interior on the Regulation of Methane Emissions	Amendment Rejected - House(190 - 230)	Yea	
Nov. 20, 2013	HR 1965	Federal Lands Jobs and Energy Security Act	Bill Passed - House(228 - 192)	Nay	
Nov. 20, 2013	HR 2728	Protecting States' Rights to Promote American Energy Security Act	Bill Passed - House(235 - 187)	Nay	
Nov. 15, 2013	HR 3350	Keep Your Health Plan Act of 2013	Bill Passed - House(261 - 157)	Nay	
Nov. 14, 2013	HR 2655	Lawsuit Abuse Reduction Act of 2013	Bill Passed - House(228 - 195)	Nay	
Nov. 13, 2013	HR 982	Furthering Asbestos Claim Transparency (FACT) Act of 2013	Bill Passed - House(221 - 199)	Nay	
Oct. 30, 2013	H J Res 99	Disapproval of the President's Exercise of Authority to Suspend the Debt Limit	Joint Resolution Passed - House(222 - 191)	Nay	
Oct. 30, 2013	HR 992	Swaps Regulatory Improvement Act	Bill Passed - House(292 - 122)	Nay	
Oct. 29, 2013	HR 2374	Retail Investor Protection Act	Bill Passed - House(254 - 166)	Nay	
Oct. 29, 2013	HR 3361	USA FREEDOM Act	House	Co-sponsor	
Oct. 29, 2013	HR 3370	Homeowner Flood Insurance Affordability Act of 2014	House	Co-sponsor	
Oct. 16, 2013	HR 2775	Continuing Appropriations Resolution, 2014	Concurrence Vote Passed - House(285 - 144)	Yea	
Oct. 11, 2013	H J Res 76	National Nuclear Security Administration Continuing Appropriations Resolution, 2014	Bill Passed - House(248 - 176)	Nay	
Oct. 10, 2013	H J Res 79	Border Security and Enforcement Continuing Appropriations Resolution, 2014	Joint Resolution Passed - House(249 - 175)	Nay	
Oct. 9, 2013	H J Res 90	Federal Aviation Administration Continuing Appropriations Resolution, 2014	Joint Resolution Passed - House(252 - 172)	Nay	
Oct. 8, 2013	H J Res 84	Head Start Continuing Appropriations Resolution, 2014	Joint Resolution Passed - House(248 - 168)	Nay	
Oct. 7, 2013	H J Res 77	Food and Drug Administration Continuing Appropriations Resolution, 2014	Joint Resolution Passed - House(235 - 162)	Nay	
Oct. 4, 2013	H J Res 75	Special Supplemental Nutrition Program for Women, Infants, and Children Continuing Appropriations Resolution, 2014	Joint Resolution Passed - House(244 - 164)	Nay	
Oct. 4, 2013	H J Res 85	Federal Emergency Management Agency Continuing Appropriations Resolution, 2014	Joint Resolution Passed - House(247 - 164)	Nay	
Oct. 3, 2013	HR 3230	Pay Our Guard and Reserve Act	Bill Passed - House(265 - 160)	Nay	
Oct. 1, 2013	H J Res 70	National Park Service Operations, Smithsonian Institution, National Gallery of Art, and United States Holocaust Memorial Museum Continuing Appropriations Resolution, 2014	Joint Resolution Failed - House(252 - 176)	Yea	
Oct. 1, 2013	H J Res 71	District of Columbia Continuing Appropriations Resolution, 2014	Joint Resolution Failed - House(265 - 163)	Yea	
Oct. 1, 2013	H J Res 72	Veterans Benefits Continuing Appropriations Resolution, 2014	Joint Resolution Failed - House(264 - 164)	Yea	
Sept. 30, 2013	H J Res 59	Continuing Appropriations Resolution, 2014	Concurrence Vote Passed - House(228 - 201)	Nay	
Sept. 29, 2013	H J Res 59	Continuing Appropriations Resolution, 2014	Concurrence Vote Passed - House(248 - 174)	Nay	
Sept. 20, 2013	H J Res 59	Continuing Appropriations Resolution, 2014	Joint Resolution Passed - House(230 - 189)	Did Not Vote	
Sept. 20, 2013	HR 1526	Restoring Healthy Forests for Healthy Communities Act	Bill Passed - House(244 - 173)	Nay	
Sept. 18, 2013	H Amdt 463	Amends the Definition of "Strategic and Critical Minerals"	Amendment Rejected - House(187 - 241)	Yea	
Sept. 18, 2013	H Amdt 466	Requires Mine Operators to Include the Cost of Cleanup in Financial Insurance	Amendment Rejected - House(191 - 235)	Yea	
Sept. 18, 2013	HR 761	National Strategic and Critical Minerals Production Act of 2013	Bill Passed - House(246 - 178)	Nay	
Sept. 12, 2013	HR 2775	No Subsidies Without Verification Act	Bill Passed - House(235 - 191)	Nay	
Aug. 2, 2013	H Amdt 448	Requires Congressional Approval Prior to Establishing a Tax on Carbon Emissions	Amendment Adopted - House(237 - 176)	Nay	
Aug. 2, 2013	H Amdt 450	Requires Congressional Approval for Any Rules Under the Patient Protection and Affordable Care Act	Amendment Adopted - House(227 - 185)	Nay	
Aug. 2, 2013	HR 2009	Keep the IRS Off Your Health Care Act of 2013	Bill Passed - House(232 - 185)	Nay	
Aug. 2, 2013	HR 367	Regulations From the Executive in Need of Scrutiny Act of 2013	Bill Passed - House(232 - 183)	Nay	
Aug. 1, 2013	HR 1582	Energy Consumers Relief Act of 2013	Bill Passed - House(232 - 181)	Nay	
Aug. 1, 2013	HR 2879	Stop Government Abuse Act	Bill Passed - House(239 - 176)	Nay	
July 25, 2013	HR 2218	Coal Residuals Reuse and Management Act of 2013	Bill Passed - House(265 - 155)	Nay	
July 24, 2013	H Amdt 413	Prohibits the National Security Agency  from Collecting Records Under the PATRIOT Act	Amendment Rejected - House(205 - 217)	Yea	
July 24, 2013	HR 2397	Department of Defense Appropriations Act, 2014	Bill Passed - House(315 - 109)	Nay	
July 23, 2013	H Amdt 375	Prohibits the Use of Funds to Appoint Chaplains Without an Endorsing Agency	Amendment Adopted - House(253 - 173)	Nay	
July 17, 2013	HR 2667	Authority for Mandate Delay Act	Bill Passed - House(264 - 161)	Nay	
July 17, 2013	HR 2668	Fairness for American Families Act	Bill Passed - House(251 - 174)	Nay	
June 9, 2014	H Amdt 783	Reduces Appropriations to Amtrak	Amendment Rejected - House(154 - 248)	Nay	
May 30, 2014	H Amdt 738	Authorizes Funds to be Used for Guantanamo Bay Operations	Amendment Rejected - House(169 - 230)	Yea	
May 30, 2014	H Amdt 748	Prohibits Federal Agencies from Preventing States from Authorizing the Use of Medical Marijuana	Amendment Adopted - House(219 - 189)	Yea	
May 30, 2014	H Amdt 750	Prohibits Funds from Being Used for the Transfer of Clemency Application Screening Personnel	Amendment Adopted - House(219 - 189)	Nay	
May 30, 2014	H Amdt 763	Prohibits Funds from Being Used to Require Journalists to Disclose Sources	Amendment Adopted - House(225 - 183)	Yea	
May 22, 2014	H Amdt 671	Prohibits Funds from Being Used for Certain Climate Change Reports	Amendment Adopted - House(231 - 192)	Nay	
May 22, 2014	H Amdt 675	Prohibits Funds from Being Used for Guantanmo Bay Operations	Amendment Rejected - House(177 - 247)	Yea	
May 22, 2014	H Amdt 676	Repeals Indefinite Military Detention Provisions	Amendment Rejected - House(191 - 230)	Yea	
May 22, 2014	H Amdt 679	Prohibits Funds from Being Used to Implement the New START Treaty	Amendment Adopted - House(233 - 191)	Nay	
May 22, 2014	H Amdt 680	Repeals Military Force Authorization	Amendment Rejected - House(191 - 233)	Yea	
May 22, 2014	HR 3361	USA FREEDOM Act	Bill Passed - House(303 - 121)	Yea	
May 22, 2014	HR 4435	Howard P. "Buck" McKeon National Defense Authorization Act for Fiscal Year 2015	Bill Passed - House(325 - 98)	Yea	
May 21, 2014	H Amdt 669	Amends Intercontinental-Range Ballistic Missiles (ICBM) Laws	Amendment Adopted - House(222 - 196)	Nay	
May 9, 2014	HR 4438	American Research and Competitiveness Act of 2014	Bill Passed - House(274 - 131)	Nay	
May 7, 2014	H Res 574	Recommends that the House of Representatives Find Lois G. Lerner in Contempt of Congress	Resolution Passed - House(231 - 187)	Nay	
April 10, 2014	H Con Res 96	Establishing the Budget for the United States Government for Fiscal Year 2015 and Setting Forth Appropriate Budgetary Levels for Fiscal Years 2016 Through 2024	Joint Resolution Passed - House(219 - 205)	Did Not Vote	
April 8, 2014	HR 1871	Baseline Reform Act of 2014	Bill Passed - House(230 - 185)	Nay	
April 4, 2014	HR 1874	Pro-Growth Budgeting Act of 2014	Bill Passed - House(224 - 182)	Nay	
April 3, 2014	HR 2575	Save American Workers Act of 2014	Bill Passed - House(248 - 179)	Nay	
March 26, 2014	HR 1459	Ensuring Public Involvement in the Creation of National Monuments Act	Bill Passed - House(222 - 201)	Nay	
March 25, 2014	HR 2824	Preventing Government Waste and Protecting Coal Mining Jobs in America	Bill Passed - House(229 - 192)	Nay	
March 14, 2014	HR 4015	SGR Repeal and Medicare Provider Payment Modernization Act of 2014	Bill Passed - House(238 - 181)	Nay	
March 13, 2014	HR 3189	Water Rights Protection Act	Bill Passed - House(238 - 174)	Nay	
March 13, 2014	HR 3973	Faithful Execution of the Law Act of 2014	Bill Passed - House(244 - 171)	Nay	
March 12, 2014	HR 4138	Executive Needs to Faithfully Observe and Respect Congressional Enactments of (ENFORCE) the Law Act of 2014	Bill Passed - House(233 - 181)	Nay	
March 6, 2014	H Amdt 585	Prohibits the Social Cost of Carbon from Being Included in Agency Determinations	Amendment Adopted - House(222 - 188)	Nay	
March 6, 2014	H Amdt 587	Exempts Certain Nuclear Facility Construction Projects from Environmental Review Time Frame Requirements	Amendment Rejected - House(187 - 220)	Yea	
March 6, 2014	HR 2641	Responsibly And Professionally Invigorating Development (RAPID) Act of 2013	Bill Passed - House(229 - 179)	Nay	
March 6, 2014	HR 3826	Electricity Security and Affordability Act	Bill Passed - House(229 - 183)	Nay	
March 5, 2014	HR 4118	Suspending the Individual Mandate Penalty Law Equals (SIMPLE) Fairness Act	Bill Passed - House(250 - 160)	Nay	
March 4, 2014	HR 3370	Homeowner Flood Insurance Affordability Act of 2014	Bill Passed - House(306 - 91)	Yea	
