No.,Label,Text,State,Party,NameFull
1141,True,"A bill to amend the Internal Revenue Code of 1986 to expand the rehabilitation credit, and for other purposes.",52,100, Benjamin L. Cardin
669,True,A bill to make permanent the Internal Revenue Service Free File program.,42,100, Mark L. Pryor
763,False,A bill to authorize States to enforce pipeline safety requirements related to wellbores at interstate storage facilities.,32,200, Pat Roberts
761,True,"A bill to promote energy savings in residential and commercial buildings and industry, and for other purposes.",4,100, Jeanne Shaheen
2655,True,A bill to reauthorize the Young Womens Breast Health Education and Awareness Requires Learning Young Act of 2009.,33,100, Amy Klobuchar
1911,False,"A bill to reform and strengthen the workforce investment system of the Nation to put Americans back to work and make the United States more competitive in the 21st century, and for other purposes.",48,200, Tim Scott
5078,True,"To preserve existing rights and responsibilities with respect to waters of the United States, and for other purposes.",43,200, Steve II Southerland
498,False,A bill to repeal the Zimbabwe Democracy and Economic Recovery Act of 2001.,53,200, James M. Inhofe
499,False,A bill to repeal the Patient Protection and Affordable Care Act.,45,200, David Vitter
90,True,"A bill to amend title II of the Social Security Act to allow workers who attain age 65 after 1981 and before 1992 to choose either lump sum payments over four years totaling $5,000 or an improved benefit computation formula under a new 10-year rule governing the transition to the changes in benefit computation rules enacted in the Social Security Amendments of 1977, and for other purposes.",45,200, David Vitter
507,False,"A bill to establish the Manhattan Project National Historical Park in Oak Ridge, Tennessee, Los Alamos, New Mexico, and Hanford, Washington, and for other purposes.",73,100, Maria Cantwell
692,True,A bill to rescind certain Federal funds identified by States as unwanted and use the funds to reduce the Federal debt.,43,200, Marco Rubio
25,True,"To ensure that the reduced annual cost-of-living adjustment to the retired pay of members and former members of the Armed Forces under the age of 62 required by the Bipartisan Budget Act of 2013 will not apply to members or former members who first became members prior to January 1, 2014, and for other purposes.",67,200, Orrin G. Hatch
5272,True,"To prohibit certain actions with respect to deferred action for aliens not lawfully present in the United States, and for other purposes.",54,200, Marsha Blackburn
1079,True,"A bill to require the Director of the Bureau of Safety and Environmental Enforcement to promote the artificial reefs, and for other purposes.",45,200, David Vitter
1599,True,"A bill to reform the authorities of the Federal Government to require the production of certain business records, conduct electronic surveillance, use pen registers and trap and trace devices, and use other forms of information gathering for foreign intelligence, counterterrorism, and criminal purposes, and for other purposes.",6,100, Patrick J. Leahy
624,True,A bill to amend the Child Care and Development Block Grant Act of 1990 to require criminal background checks for child care providers.,47,200, Richard Burr
